Default-Dark, rgb(53, 53, 53), rgb(255, 255, 255), rgb(35, 35, 35), rgb(53, 53, 53), rgb(255, 255, 255), rgb(255, 255, 255), rgb(255, 255, 255), rgb(53, 53, 53), rgb(255, 255, 255), rgb(ff, 0, 0), rgb(42, 130, 218), rgb(0, 0, 0)
Black,#000000,#FFFFFF,#4D4D4D,#000000,#4D4D4D,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#000000
Black2,#000000,#FFFFFF,#000000,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#000000
BlueMono,#AAB6D3,#000000,#F1F4FC,#AAB6D3,#F1F4FC,#000000,#000000,#FFFFFF,#7186C7,#FFFFFF,#7186C7,#FFFFFF
BluePurple,#A5CADD,#6E266E,#E0F5FF,#A5CADD,#E0F5FF,#6E266E,#6E266E,#FFFFFF,#303952,#FFFFFF,#303952,#FFFFFF
BrightColors,#b4ffb4,#000000,#ffff64,#b4ffb4,#ffff64,#000000,#000000,#000000,#ffa0dc,#FFFFFF,#ffa0dc,#000000
BrownBlue,#64778d,#FFFFFF,#f0f3f7,#64778d,#f0f3f7,#FFFFFF,#FFFFFF,#FFFFFF,#283b5b,#FFFFFF,#283b5b,#FFFFFF
Dark,#404040,#FFFFFF,#4D4D4D,#404040,#4D4D4D,#FFFFFF,#FFFFFF,#FFFFFF,#004F00,#FFFFFF,#004F00,#FFFFFF
Dark2,#404040,#FFFFFF,#FFFFFF,#404040,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#004F00,#FFFFFF,#004F00,#FFFFFF
DarkAmber,#2c2825,#fdcb52,#705e52,#2c2825,#705e52,#fdcb52,#fdcb52,#000000,#fdcb52,#FFFFFF,#fdcb52,#000000
DarkBlack,#000000,#FFFFFF,#4D4D4D,#000000,#4D4D4D,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#000000
DarkBlack1,#181810,#eeeeee,#e4dcad,#181810,#e4dcad,#eeeeee,#eeeeee,#FFFFFF,#062121,#FFFFFF,#062121,#FFFFFF
DarkBlue,#1a2835,#d1ecff,#335267,#1a2835,#335267,#d1ecff,#d1ecff,#000000,#fafaf8,#FFFFFF,#fafaf8,#000000
DarkBlue1,#242834,#dfe6f8,#97755c,#242834,#97755c,#dfe6f8,#dfe6f8,#FFFFFF,#063289,#FFFFFF,#063289,#FFFFFF
DarkBlue10,#0028ff,#f1f4df,#10eaf0,#0028ff,#10eaf0,#f1f4df,#f1f4df,#f1f4df,#24009c,#FFFFFF,#24009c,#f1f4df
DarkBlue11,#6384b3,#e6f0b6,#b8e9c0,#6384b3,#b8e9c0,#e6f0b6,#e6f0b6,#e6f0b6,#684949,#FFFFFF,#684949,#e6f0b6
DarkBlue12,#324e7b,#f8f8f8,#86a6df,#324e7b,#86a6df,#f8f8f8,#f8f8f8,#FFFFFF,#5068a9,#FFFFFF,#5068a9,#FFFFFF
DarkBlue13,#203562,#e3e8f8,#c0c5cd,#203562,#c0c5cd,#e3e8f8,#e3e8f8,#FFFFFF,#3e588f,#FFFFFF,#3e588f,#FFFFFF
DarkBlue14,#21273d,#f1f6f8,#b9d4f1,#21273d,#b9d4f1,#f1f6f8,#f1f6f8,#FFFFFF,#6a759b,#FFFFFF,#6a759b,#FFFFFF
DarkBlue15,#151680,#f1fea4,#375fc0,#151680,#375fc0,#f1fea4,#f1fea4,#f1fea4,#1c44ac,#FFFFFF,#1c44ac,#f1fea4
DarkBlue16,#1c44ac,#f1fea4,#375fc0,#1c44ac,#375fc0,#f1fea4,#f1fea4,#f1fea4,#151680,#FFFFFF,#151680,#f1fea4
DarkBlue17,#21294c,#f9f2d7,#f2dea8,#21294c,#f2dea8,#f9f2d7,#f9f2d7,#f9f2d7,#141829,#FFFFFF,#141829,#f9f2d7
